Group number,Relative Separation [kpc],Relative Velocity [km/s],Pair Type
7264.0,35.64316892143625,79.77575259792287,Major
7303.0,271.4561938744891,91.69109214789638,Major
7341.0,277.223733072817,86.94104891479297,Major
7379.0,86.60198388754824,28.829115927644807,Major
7391.0,83.73978233016922,70.28534130765448,Major
7398.0,93.58478286252839,28.931276600438036,Major
7620.0,78.88341819856619,41.309303264740414,Major
7727.0,33.17371291641914,69.89508652079584,Major
7937.0,87.49195118114585,80.0176306311965,Major
7941.0,70.34752876732601,82.35048553894674,Major
7966.0,89.29766693914347,48.15423920205658,Major
8000.0,29.93777620508851,79.60571697506424,Major
8003.0,263.26849548107924,96.97920257401633,Major
8106.0,196.32368925984542,63.5949161288793,Major
8117.0,263.2561777896222,53.39997476944806,Major
8159.0,42.94987418197751,39.90964339512458,Major
8207.0,191.666270893047,69.81009249655156,Major
8254.0,269.0832770337978,48.006256750507006,Major
8260.0,74.8069287528971,71.40608244781622,Major
8324.0,44.77314273446942,53.52263770232045,Major
8344.0,54.468228289826286,11.240670490372208,Major
8435.0,64.027665993487,75.60921507022441,Major
8474.0,169.3691640555391,77.75417498468438,Major
8608.0,225.6641078427937,57.73291095931205,Major
8620.0,106.38047900926512,86.98424862838054,Major
8792.0,161.30413807877198,90.34094603439138,Major
8805.0,53.29823968104038,19.371282143398147,Major
8891.0,53.707597610250964,19.760122510641246,Major
8904.0,68.79427024056002,35.6402353433728,Major
8929.0,138.69795739800207,64.49074486971605,Major
9063.0,87.03392281849924,13.527074298965108,Major
9180.0,26.0409250913613,7.667256073098974,Major
9202.0,37.29238723372538,57.79404235615873,Major
9304.0,27.762414049829808,40.066201466480805,Major
9346.0,62.69403592654932,23.72544073894378,Major
9417.0,281.2067600072872,49.76566344432633,Major
9456.0,60.94366680704238,46.760631122428684,Major
9567.0,50.37414795029572,49.47337903239044,Major
9781.0,74.04335258276907,27.54617270982286,Major
9923.0,97.77934587862178,62.11912229596901,Major
10241.0,49.35995714477464,39.49481547108916,Major
10302.0,73.07123232416596,52.021696880679336,Major
11102.0,32.630305866645415,38.811829032133566,Major
11196.0,51.90797774961563,59.719688789364874,Major
